iter	RMSE
0	1.088421981
1	1.076868342
2	1.072884528
3	1.066194506
4	1.061455988
5	1.05908644
6	1.054908272
7	1.052797151
8	1.047615943
9	1.045072656
10	1.043423043
11	1.039321149
12	1.038159977
13	1.035574492
14	1.03213354
15	1.030327756
16	1.025117172
17	1.020304093
18	1.016231072
19	1.010937746
20	1.007632796
21	1.005161661
22	1.000035674
23	0.9971842554
24	0.9918885987
25	0.9871071997
26	0.9835942037
27	0.9811499043
28	0.9774108305
29	0.9726002935
30	0.9702555078
31	0.9661055705
32	0.9641972829
33	0.9614727511
34	0.9588481117
35	0.9563851114
36	0.9538186627
37	0.9485446168
38	0.9447041398
39	0.9398413869
40	0.9373479457
41	0.9343009449
42	0.931364591
43	0.927057553
44	0.922841869
45	0.9198938945
46	0.9170386472
47	0.9142170648
48	0.9123127211
49	0.9101784027
50	0.9066655785
51	0.9025978355
52	0.9003364921
53	0.8967008239
54	0.8946353071
55	0.8914147394
56	0.888667365
57	0.8858596589
58	0.8817284742
59	0.8802382772
60	0.8776051509
61	0.8754148676
62	0.8713900269
63	0.8692113624
64	0.8675916918
65	0.8647642653
66	0.8614002016
67	0.860007061
68	0.8582388962
69	0.8540197657
70	0.8519333268
71	0.8498332963
72	0.8475263331
73	0.8451180473
74	0.8436970598
75	0.8407893535
76	0.8386736388
77	0.8361832102
78	0.8345836218
79	0.83317995
80	0.8316586782
81	0.8303363016
82	0.8281191571
83	0.8261411084
84	0.8240273376
85	0.8221942536
86	0.8185337024
87	0.8158054496
88	0.8137370988
89	0.8118839143
90	0.8103293702
91	0.8088908211
92	0.8066878244
93	0.805041593
94	0.8025517537
95	0.8009309267
96	0.7999956889
97	0.7979793821
98	0.7974004855
99	0.7948146551
100	0.7938260193
101	0.7915768977
102	0.7905189181
103	0.7881484709
104	0.787260799
105	0.7869294604
106	0.785247308
107	0.7842310248
108	0.7821764123
109	0.7804181535
110	0.77756405
111	0.7757907707
112	0.774045272
113	0.7722105923
114	0.7692701934
115	0.7676184252
116	0.7641212784
117	0.7615665338
118	0.7610823549
119	0.7590989071
120	0.7566814502
121	0.7553267777
122	0.7533847807
123	0.7507371198
124	0.7494703055
125	0.7474475911
126	0.7462315264
127	0.7451741649
128	0.74448551
129	0.7432874644
130	0.7408436951
131	0.739326436
132	0.7336732228
133	0.7321460944
134	0.7304948137
135	0.7286288398
136	0.7257405826
137	0.7249692761
138	0.7227660733
139	0.7213728904
140	0.7204053123
141	0.7180769706
142	0.7170069767
143	0.7159875987
144	0.7129527333
145	0.7115109138
146	0.7092046997
147	0.7080458757
148	0.7062390742
149	0.7047591932
150	0.7032087553
151	0.7024322115
152	0.7009364053
153	0.69973311
