iter	Passed	Remaining
0	0	316
1	0	304
2	1	284
3	1	290
4	1	295
5	2	286
6	2	277
7	2	270
8	2	266
9	3	262
10	3	257
11	3	255
12	3	253
13	4	254
14	4	254
15	4	252
16	5	249
17	5	255
18	5	253
19	6	251
20	6	251
21	6	250
22	6	248
23	7	246
24	7	244
25	7	243
26	7	241
27	8	240
28	8	240
29	8	238
30	9	237
31	9	237
32	9	236
33	9	236
34	10	236
35	10	235
36	10	235
37	10	234
38	11	233
39	11	233
40	11	232
41	12	232
42	12	231
43	12	231
44	13	232
45	13	233
46	13	233
47	13	232
48	14	238
49	14	239
50	15	241
51	15	241
52	16	242
53	21	315
54	21	317
55	22	315
56	22	313
57	22	311
58	23	309
59	23	307
60	23	305
61	23	303
62	24	303
63	24	302
64	24	301
65	25	299
66	25	297
67	25	296
68	26	294
69	26	293
70	26	292
71	26	290
72	27	289
73	27	288
74	27	286
75	28	286
76	28	285
77	28	284
78	29	283
79	29	282
80	29	281
81	29	279
82	30	282
83	31	283
84	31	281
85	31	280
86	32	281
87	32	280
88	32	280
89	33	280
90	33	278
91	33	277
92	34	277
93	34	275
94	34	274
95	34	273
96	35	272
97	35	271
98	35	270
99	35	269
100	36	268
101	36	267
102	36	266
103	37	265
104	37	264
105	37	263
106	37	263
107	38	262
108	38	261
109	38	260
110	39	260
111	39	260
112	39	259
113	40	258
114	40	258
115	40	257
116	41	257
117	41	256
118	41	255
119	41	254
120	42	253
121	42	252
122	42	251
123	42	251
124	43	251
125	43	251
126	44	250
127	44	250
128	44	249
129	44	248
130	45	248
131	45	247
132	45	247
133	46	247
134	46	247
135	46	246
136	47	245
137	47	245
138	47	244
139	48	243
140	48	243
141	48	243
142	49	242
143	49	241
144	49	241
145	49	240
146	50	239
147	50	240
148	50	239
149	51	238
150	51	238
151	51	237
152	52	237
153	52	236
154	52	235
155	52	235
156	53	234
157	53	234
158	53	233
159	54	233
160	54	232
161	54	232
162	54	231
163	55	230
164	55	230
165	55	229
166	56	229
167	56	228
168	57	233
169	58	233
170	58	232
171	59	233
172	59	232
173	59	232
174	60	231
175	60	231
176	60	230
177	60	229
178	61	229
179	61	229
180	61	228
181	62	228
182	62	228
183	62	227
184	63	226
185	63	226
186	63	226
187	64	227
188	64	226
189	65	226
190	65	225
191	65	225
192	66	224
193	66	224
194	66	223
195	66	223
196	67	222
197	67	222
198	67	221
199	68	221
200	68	220
201	68	219
202	68	219
203	69	219
204	69	218
205	69	218
206	70	217
207	70	217
208	70	216
209	71	216
210	71	216
211	71	216
212	72	216
213	72	216
214	73	216
215	73	216
216	74	216
217	74	216
218	75	216
219	75	216
220	75	215
221	76	215
222	76	214
223	76	214
224	77	214
225	77	213
226	77	213
227	78	212
228	78	212
229	78	211
230	78	211
231	79	210
232	79	210
233	79	210
234	80	211
235	81	211
236	81	210
