iter	Passed	Remaining
0	62	53150
1	62	26677
2	63	17933
3	63	13512
4	64	10852
5	64	9086
6	64	7817
7	65	6859
8	65	6121
9	65	5536
10	66	5060
11	66	4662
12	67	4319
13	67	4024
14	67	3768
15	68	3548
16	68	3353
17	68	3176
18	69	3018
19	69	2876
20	69	2746
21	69	2630
22	70	2522
23	70	2424
24	70	2334
25	71	2252
26	71	2174
27	71	2103
28	71	2038
29	72	1975
30	72	1920
31	72	1864
32	73	1813
33	73	1765
34	73	1719
35	74	1677
36	74	1636
37	74	1599
38	75	1565
39	75	1533
40	76	1500
41	76	1469
42	76	1440
43	77	1412
44	77	1384
45	77	1357
46	78	1332
47	78	1307
48	78	1284
49	78	1261
50	79	1239
51	79	1218
52	79	1198
53	79	1179
54	80	1160
55	80	1142
56	80	1124
57	81	1107
58	81	1091
59	81	1075
60	81	1060
61	82	1045
62	82	1031
63	82	1017
64	83	1003
65	83	990
66	83	978
67	83	965
68	84	953
69	84	942
70	84	930
71	85	920
72	85	909
73	85	898
74	86	888
75	86	878
76	86	869
77	86	860
78	87	850
79	87	841
80	87	833
81	88	824
82	88	816
83	88	808
84	88	800
85	89	792
86	89	786
87	89	779
88	90	772
89	90	767
90	91	761
91	91	756
92	92	750
93	92	744
94	92	737
95	93	732
96	93	727
97	94	723
98	94	718
99	94	712
100	95	706
101	95	700
102	95	695
103	96	690
104	96	684
105	96	679
106	97	675
107	97	670
108	97	665
109	98	660
110	98	656
111	98	651
112	99	647
113	99	643
114	100	639
115	100	634
116	100	630
117	101	626
118	101	623
119	101	619
120	102	614
121	102	610
122	102	606
123	102	602
124	103	598
125	103	595
126	103	591
127	104	588
128	104	584
129	104	581
130	105	577
131	105	574
132	105	570
133	106	567
134	106	563
135	106	560
136	107	557
137	107	553
138	107	550
139	107	547
140	108	544
141	108	541
142	108	538
143	109	534
144	109	531
145	109	528
146	109	525
147	110	522
148	110	520
149	110	517
150	111	514
151	111	512
152	111	509
153	112	506
154	112	503
155	112	501
156	112	498
157	113	496
158	113	493
159	113	490
160	114	488
161	114	485
162	114	483
163	115	481
164	115	479
165	116	478
166	116	475
167	116	473
168	116	471
169	117	469
170	117	468
171	118	466
172	118	464
173	119	462
174	119	460
175	119	458
176	120	456
177	120	454
178	120	452
179	121	450
180	121	448
181	121	446
182	121	444
183	122	442
184	122	440
185	122	438
186	123	436
187	123	434
188	123	432
189	124	431
190	124	429
191	124	427
192	125	426
193	125	424
194	125	423
195	126	421
196	126	419
197	126	417
198	127	416
199	127	414
200	127	412
201	128	410
202	128	409
203	128	407
204	128	405
205	129	404
206	129	402
207	129	401
208	130	399
209	130	397
210	130	396
211	131	394
212	131	393
213	131	391
214	132	390
215	132	388
216	132	387
217	133	385
218	133	384
219	133	382
220	133	381
221	134	379
222	134	378
223	134	376
224	135	375
225	135	373
226	135	372
227	136	371
228	136	369
229	136	368
230	137	367
231	137	366
232	138	368
233	139	366
234	139	365
235	140	364
236	140	363
237	140	361
238	141	360
239	141	360
240	142	359
241	142	358
242	143	357
243	143	356
244	143	354
245	144	353
246	144	352
247	144	351
248	145	350
249	145	349
250	145	348
251	146	347
252	146	345
253	146	344
254	147	343
255	147	342
256	148	341
257	148	340
258	148	339
259	149	338
260	149	337
261	149	336
262	150	335
263	150	334
264	150	333
265	151	331
266	151	330
267	151	329
268	152	328
269	152	327
270	152	326
271	153	325
272	153	325
273	154	324
274	154	323
275	155	322
276	155	321
277	155	320
278	156	319
279	156	318
280	156	317
281	157	316
282	157	315
283	157	314
284	158	313
285	158	312
286	158	311
287	158	310
288	159	309
289	159	308
290	159	307
291	160	306
292	160	305
293	160	304
294	161	302
295	161	302
296	161	301
297	162	300
298	162	299
299	162	298
300	163	297
301	163	296
302	163	295
303	164	294
304	164	294
305	165	293
306	165	292
307	165	291
308	166	291
309	166	290
310	167	289
311	167	288
312	167	287
313	167	286
314	168	285
315	168	284
316	168	283
317	169	282
318	169	282
319	169	281
320	170	280
321	170	279
322	170	278
323	171	277
324	171	277
325	171	276
326	172	275
327	172	274
328	172	273
329	173	273
330	173	272
331	173	271
332	174	270
333	174	269
334	174	268
335	175	267
336	175	267
337	175	266
338	176	265
339	176	264
340	176	263
341	177	263
342	177	262
343	177	261
344	178	261
345	178	260
346	179	259
347	179	259
348	179	258
349	180	257
350	180	256
351	181	256
352	181	255
353	181	254
354	182	253
355	182	253
356	182	252
357	182	251
358	183	250
359	183	249
360	183	248
361	184	248
362	184	247
363	184	246
364	184	245
365	185	245
366	185	244
367	186	243
368	186	243
369	187	242
370	187	242
371	187	241
372	188	240
373	188	239
374	188	239
375	189	238
376	189	237
377	189	236
378	190	236
379	190	235
380	190	235
381	191	234
382	191	233
383	192	233
384	192	232
385	192	231
386	193	231
387	193	230
388	194	229
389	194	229
390	194	228
391	195	228
392	195	227
393	195	226
394	196	226
395	196	225
396	197	224
397	197	224
398	197	223
399	198	223
400	198	222
401	199	221
402	199	221
403	199	220
404	200	220
405	200	219
406	201	218
407	201	218
408	201	217
409	202	217
410	202	216
411	203	215
412	203	215
413	203	214
414	204	213
415	204	213
416	204	212
417	205	212
418	205	211
419	205	210
420	206	210
421	206	209
422	206	208
423	207	208
424	207	207
425	207	206
426	208	206
427	208	205
428	208	205
429	209	204
430	209	203
431	210	203
432	210	202
433	210	201
434	210	201
435	211	200
436	211	200
437	211	199
438	212	198
439	212	198
440	212	197
441	213	196
442	213	196
443	213	195
444	214	194
445	214	194
446	214	193
447	215	192
448	215	192
449	215	191
450	215	191
451	216	190
452	216	189
453	216	189
454	217	188
455	217	187
456	217	187
457	218	186
458	218	186
459	218	185
460	219	184
461	219	184
462	219	183
463	219	182
464	220	182
465	220	181
466	220	181
467	221	180
468	221	179
469	221	179
470	221	178
471	222	177
472	222	177
473	222	176
474	223	176
475	223	175
476	223	174
477	223	174
478	224	173
479	224	173
480	224	172
481	225	171
482	225	171
483	225	170
484	226	170
485	226	169
486	226	168
487	226	168
488	227	167
489	227	167
490	227	166
491	228	165
492	228	165
493	228	164
494	228	164
495	229	163
496	229	163
497	229	162
498	230	161
499	230	161
500	231	160
501	231	160
502	231	159
503	232	159
504	232	158
505	232	158
506	233	157
507	233	157
508	233	156
509	233	155
510	234	155
511	234	154
512	234	154
513	235	153
514	235	153
515	235	152
516	236	152
517	236	151
518	236	150
519	236	150
520	237	149
521	237	149
522	237	148
523	238	148
524	238	147
525	239	147
526	239	146
527	240	146
528	240	145
529	240	145
530	240	144
531	241	144
532	241	143
533	241	143
534	242	142
535	242	141
536	242	141
537	242	140
538	243	140
539	243	139
540	244	139
541	244	138
542	244	138
543	245	137
544	245	137
545	245	136
546	245	136
547	246	135
548	246	135
549	246	134
550	247	134
551	247	133
552	247	133
553	247	132
554	248	131
555	248	131
556	248	130
557	249	130
558	249	129
559	249	129
560	249	128
561	250	128
562	250	127
563	250	127
564	251	126
565	251	126
566	251	125
567	252	125
568	252	124
569	252	124
570	252	123
571	253	123
572	253	122
573	253	122
574	254	121
575	254	121
576	254	120
577	255	120
578	255	119
579	255	119
580	256	118
581	256	118
582	256	117
583	257	117
584	257	116
585	257	116
586	257	115
587	258	115
588	258	114
589	258	114
590	259	113
591	259	113
592	259	112
593	260	112
594	260	111
595	260	111
596	261	110
597	261	110
598	261	109
599	262	109
600	262	108
601	262	108
602	262	107
603	263	107
604	263	106
605	263	106
606	264	105
607	264	105
608	264	104
609	265	104
610	265	103
611	265	103
612	265	102
613	266	102
614	266	101
615	266	101
616	266	100
617	267	100
618	267	99
619	267	99
620	268	98
621	268	98
622	268	97
623	269	97
624	269	96
625	269	96
626	269	95
627	270	95
628	270	95
629	270	94
630	271	94
631	271	93
632	271	93
633	271	92
634	272	92
635	272	91
636	272	91
